"a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading"
"M Prywes","5.0 颗星，最多 5 颗星","Poor education could stop the Chinese miracle","2021年12月30日 在美国审核","已确认购买","Scott Rozelle is a development economist at Stanford University and Natalie Hell is a writer.  The book reports on the research of the authors and their team at Stanford’s Rural Education Action Program.  It's well-written and easy to read, considering that its substance derives from technical research.The central theme is that inadequate education constrains China’s rise from a middle- to a fully developed and upper-income country.  The book finds that education is especially weak in rural China, where 64 percent of the population lives.  The authors predict shortages of qualified labor over the next several decades.Many Americans may ask why they should care, since our leaders treat China as a rival and an unfair competitor.  The authors expect that a slow-down in China’s growth would harm both the developing and industrial countries that export to China.  For example, it would harm US exports to China (soybeans, wheat, pork).  It would harm poor countries where China sub-contracts production (Indonesia, Thailand, Bangladesh, Pakistan, Ethiopia).Slower growth would frustrate China’s youth as they enter the labor market and would sharpen inequality between the less-educated rural and the more-educated urban population.  This could provoke internal political conflict.  There's a risk that China’s leaders would respond to domestic division by inflaming nationalism, for example through military expansion.  We Americans are better-off with fat and happy than with hungry and angry rivals.  It was irrational for President Trump to think that the USA could be better off with a poorer China or Mexico.It’s difficult to see how China can continue its growth performance without heavy investment in education.  The 2015 micro-census showed that only about 30 percent of China’s labor force had a high school or higher education, putting it behind all the other middle-income countries.  The figure for the industrial (OECD) countries was 80 percent.  Only 12.5 percent had a college education.  The industrial countries are at 35 percent.  Happily, China has already started to expand university education, but building a quality university takes time.The hukou (residence permit) system has been a major cause of poor education.  Under hukou, the hundreds of millions of workers who migrated from rural villages to cities cannot send their children to free public elementary and junior high schools in the city.  If migrants bring their children with them to a city, they must pay fees to informal and poor-quality private schools.  The alternative is to for migrant workers to  separate the family and leave their spouse and children in the village, where the children can attend school for free.Many poor children can’t attend high school (grades 10 to 12) because their parents can’t afford the fees.  This is a problem in rural areas where incomes are low.  In 2010, high school attainment in the rural labor force was only 11 percent, compared to 44 percent in urban areas.  Further, there was a quality problem. Many rural high schools are vocational schools with less qualified teachers and less academic curriculums than urban schools.The incentives facing bureaucrats work against rural education.  Local authorities may not fund quality public education since most of the benefits spill-over to the urban areas.  Moreover, the benefits are realized over the long period so that local government bureaucrats are unlikely to win promotion in the near-term.A further cause of poor educational achievement is inadequate early childhood nutrition.  This harms cognitive development and children’s learning.  (I am unsure whether this finding contradict the official data, which show low rates of wasting and stunting (indicators of early childhood malnutrition).  Infection by intestinal worms is another cause of poor achievement.  The worms consume food and can leave children feeling fatigued at school.  Many school children have difficulty learns simply because they don’t receive vision tests and eyeglasses.Inadequate coverage of secondary and university education may explain the middle-income trap, in which middle-income countries cease to grow rapidly and fail to break through to high income status.These influences on education could cause China could fall into the middle-income trap.  The ‘trap’ describes the tendency for growth of per capita GDP in the middle-income countries to slow, or to cease, so that the countries fail to break through to mature into high-income countries.  The per-capita GDP of Mexico, Brazil, Turkey, and South Africa has been roughly flat for much of the past decade.  These are countries all failed to offer good-quality secondary education to their youth.In contrast, Taiwan, Korea, Ireland, and Israel were middle income countries which achieved high-income status.  All have delivered quality secondary, technical, and university education to a high proportion of their youth.  Korea built its growth strategy around delivering educated graduates to priority heavy and tech industries.  Ireland pioneered the establishment of (tertiary level) technical institutes.The authors propose the following policies improve education.  First, fund education from a central budget to counter the tendency to underfunding by local authorities. Second, offer fee-free, central government funding to secondary education to all students.  Third, reform the hukou system to allow children of migrant workers from the countryside to attend public schools in cities.  Finally, deliver health education to parents, to teach them principles of nutrition, and how to prevent intestinal worms, and the provision of glasses.","9 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhDooTQw0U2syZYk0LPUcJEvbKW0e1pDqrLtTu24bKvXDAAAAAGQvyEoAAAAB%26reviewId%3DR3P0XH98EZ4IKC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDooTQw0U2syZYk0LPUcJEvbKW0e1pDqrLtTu24bKvXDAAAAAGQvyEoAAAAB&reviewId=R3P0XH98EZ4IKC","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Unimaginative_pseudonym","5.0 颗星，最多 5 颗星","certainly gives one a lot to think about","2023年4月1日 在美国审核","已确认购买","Besides informing me about the situation in rural China now, it’s also very informative about the “middle income trap” and what it takes for a country to avoid it.","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhFWxU5KodMnbQB9AHVB%252BfM5xRFr6vU3nA3TWbjra1ZyDAAAAAGQvyEoAAAAB%26reviewId%3DR1VRAW5AHH90V8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFWxU5KodMnbQB9AHVB%2BfM5xRFr6vU3nA3TWbjra1ZyDAAAAAGQvyEoAAAAB&reviewId=R1VRAW5AHH90V8","","0","当前加载评论时遇到问题。请稍后再试。"
"David Roetzel","5.0 颗星，最多 5 颗星","Reminds me of Project Headstart","2023年3月11日 在美国审核","已确认购买","Somewhat repetitive until you realize it's aimed at bureaucrats, hope they learn from it.","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhE1XNJDBsVHmMzm7T780WDhaPLtgkgRRYFGjNxAG8nvLAAAAAGQvyEoAAAAB%26reviewId%3DR3MJT9OXQBLBWN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hE1XNJDBsVHmMzm7T780WDhaPLtgkgRRYFGjNxAG8nvLAAAAAGQvyEoAAAAB&reviewId=R3MJT9OXQBLBWN","","0","当前加载评论时遇到问题。请稍后再试。"
"jason chimko","4.0 颗星，最多 5 颗星","Invisible China","2022年11月6日 在美国审核","已确认购买","A great book highlighting the issues with health and education in China's rural population setting. A real eye opener!Very informative.","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhHv9Im%252FMNvZcqnIDPMSY%252FKN%252FfeVN1%252BOKlT4g6ybVcQsvAAAAAGQvyEoAAAAB%26reviewId%3DRVZWXIMZ0C4RS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHv9Im%2FMNvZcqnIDPMSY%2FKN%2FfeVN1%2BOKlT4g6ybVcQsvAAAAAGQvyEoAAAAB&reviewId=RVZWXIMZ0C4RS","","0","当前加载评论时遇到问题。请稍后再试。"
"Eric","5.0 颗星，最多 5 颗星","A Great Read","2022年5月13日 在美国审核","已确认购买","I've done research about China and taught development economics for nearly three decades. This is an outstanding book, one that I enjoyed reading and that my students loved. Unlike many of the ""popular"" books about China, often written by people with limited, anecdotal knowledge of the country, it's based on rigorous, peer-reviewed research conducted over decades. Importantly, this doesn't mean that the book is dry or boring; to the contrary, it pairs the research with examples and stories that make the subject come to life and the issues understandable to the non-specialist and to the student. Rozelle's analysis is thoughtful at all times, acknowledging the counterarguments and everything that we don't know and can't easily predict. Rozelle also draws from the experience of other countries to help us think through possible scenarios as China attempts to make the transition to high-income country. Recommended not just to understand China better, but also to learn more about economic development and poverty reduction in general, especially in places that have escaped extreme poverty but may risk getting stuck in the ""middle-income trap.""","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhPpkVDJn9r6%252FC3s1q%252BkApwdr3bFT2SkCCFCboF501lXhAAAAAGQvyEoAAAAB%26reviewId%3DR1D9QA3BPUB4Q8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hPpkVDJn9r6%2FC3s1q%2BkApwdr3bFT2SkCCFCboF501lXhAAAAAGQvyEoAAAAB&reviewId=R1D9QA3BPUB4Q8","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"bookbuyer","4.0 颗星，最多 5 颗星","Good but narrowly focused","2021年3月9日 在美国审核","已确认购买","The book is pretty narrowly focused on specific policy suggestions that would affect either childhood development or health, or the pre-university education system. It's not bad, but just don't expect a wider examination of rural-urban labor issues.I'm surprised the authors don't give more time to what the situation is like now for rural people that didn't receive that investment in human capital. For example most cities in China are filled with a lot of young men (but increasingly older men and some women) who deliver food for very low wages as gig workers for large startups. They're a ubiquitous sight across China and having a lot of young rural men rushing around delivery food orders for very low wages speaks to labor market issues, lack of investment in human capital, and a growing urban-rural divide. But it's not really mentioned in the book.My other criticism is that the book often compares countries that got trapped in middle income (Mexico) and countries that got out (Ireland, South Korea). But there isn't much serious comparison or analysis here. The example often seem breezily cited as evidence of the authors claims about China.","7 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhNM0yNPnyipbKtXd65IesV9rE7Zk9ju7HQ7TVFreP5QFAAAAAGQvyEoAAAAB%26reviewId%3DR3QQLQFPEDB8M0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNM0yNPnyipbKtXd65IesV9rE7Zk9ju7HQ7TVFreP5QFAAAAAGQvyEoAAAAB&reviewId=R3QQLQFPEDB8M0","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Chapel Hillian","3.0 颗星，最多 5 颗星","Somewhat dated research in too many words","2022年8月9日 在美国审核","已确认购买","The authors present very insightful data on China’s risk of economic stagnation, but do so based on work largely a decade old and by repeating themselves so often as to stretch what should have been a research paper into a book.","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhL2F27eQeWwZv5BHNuc6VCkqfwWpAnoxWBC8OYkovrhAAAAAAGQvyEoAAAAB%26reviewId%3DR3IVCFTYS43PYS&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hL2F27eQeWwZv5BHNuc6VCkqfwWpAnoxWBC8OYkovrhAAAAAAGQvyEoAAAAB&reviewId=R3IVCFTYS43PYS","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Robert T.","5.0 颗星，最多 5 颗星","Required reading for anyone who wants to understand China today","2020年10月25日 在美国审核","已确认购买","This book by the leading American expert on rural China should be required reading for anyone who aspires to understand the challenges China confronts today. The book synthesizes what Scott Rozelle has learned in 40 years of field research in literally all parts of China. He emphasizes the dangers to national stability resulting from underinvestment in education of the two-thirds of China's population in rural areas who are unprepared to compete in today's China labor market which demands ever higher skill levels as low wage, unskilled jobs move off shore to lower wage economies like Vietnam and India. He fears that unless the Government of China addresses this gap quickly and aggressively, there is a risk that young Chinese males, who can find neither employment nor a spouse, turning to lives of crime.","4 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhFw%252BejKZvimwlM9tDfPsNjD1Issr7ANxwWeTIKuxF01VAAAAAGQvyEoAAAAB%26reviewId%3DR1JDF37MS7YAG7&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hFw%2BejKZvimwlM9tDfPsNjD1Issr7ANxwWeTIKuxF01VAAAAAGQvyEoAAAAB&reviewId=R1JDF37MS7YAG7","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Stephen B","5.0 颗星，最多 5 颗星","Interesting read…lots of new insights","2022年3月20日 在美国审核","已确认购买","Very interesting read with lots of new ideas about China’s present and future.  A great gift for the world.How do we buy the Chinese version?","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhI5MNU%252BNeKgG%252BxLV2VtyaotV3%252B1wR%252BRwBjHDyi3ZMQf%252FAAAAAGQvyEoAAAAB%26reviewId%3DR3DNE16YA1KI8A&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hI5MNU%2BNeKgG%2BxLV2VtyaotV3%2B1wR%2BRwBjHDyi3ZMQf%2FAAAAAGQvyEoAAAAB&reviewId=R3DNE16YA1KI8A","","0","当前加载评论时遇到问题。请稍后再试。"
"Jeff","5.0 颗星，最多 5 颗星","Fundamental threats to rural children realizing their full potential","2021年3月15日 在美国审核","已确认购买","Concise presentation of forty-odd years of work in rural China.Identifies and explains past and current challenges to rural children reaching their full potentialSuggests concrete ways to address these problems now.","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB08GCZL1PT%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhM57h%252F5NlW7BxWOBQdBRldGG%252FhJP0zwWKA0rsX4u5vHkAAAAAGQvyEoAAAAB%26reviewId%3DR2AWGAKOV5TLZ6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hM57h%2F5NlW7BxWOBQdBRldGG%2FhJP0zwWKA0rsX4u5vHkAAAAAGQvyEoAAAAB&reviewId=R2AWGAKOV5TLZ6","","0","当前加载评论时遇到问题。请稍后再试。"
