"a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading"
"Hawkeye","5.0 颗星，最多 5 颗星","Another Revealing book on Corruption! “Big help with Little Badmouth!”","2022年12月28日 在美国审核","已确认购买","Red Handed (RH) is the most recent entry into my library by Peter Schweizer.  I have found his works easy to read and understand. RH is no exception!  He is an outstanding writer and Harper is a “no mistake” editor.  Unlike a recent book I reviewed regarding Samuel Adams, I found the prose, sentence structure, and word selection not distracting from obtaining the full meaning of the story.In this work the author involves all aspects of American specialness which China has taken full advantage of to assist its regime to accomplish its geo-strategic goals at the expense of the United States (US).  From it it appears American elites have sold the rope to hang and hand the US to China.  The book exposes US citizens who have translated themselves and their companies’ services into lucrative operations helping Chinese firms while at the same time taking Beijing’s side in its trade dispute with undermining the US.Although this book has no photographs, it is very well constructed, it is well organized with a table of contents for its nine chapters, along with 20 % of the book reference material, and a fine, easy to use index.  After reading this most recent Schweizer piece I immediately sold all my positions of companies exposed in it and you should do the same.This is a magnificent book, in its reporting power, its meticulous research, its simple textual brilliance and chronological narrative.  RH stands “on the top” with other Schweizer contributions of the past.  If all the material referenced in this book is factual, then these stories of corruption make the films “Wolf of Wall Street” and “The Distinguished Gentleman” appear as child’s play!","21 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhALe2p89Rjvmh%252BglzWWi9BfKv%252F%252BEVnqTa05LjiXC0T2XAAAAAGQvymYAAAAB%26reviewId%3DROZ94MMTOMZ95&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hALe2p89Rjvmh%2BglzWWi9BfKv%2F%2BEVnqTa05LjiXC0T2XAAAAAGQvymYAAAAB&reviewId=ROZ94MMTOMZ95","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Clancy Hughes","5.0 颗星，最多 5 颗星","Sleeping with the Enemy","2022年2月15日 在美国审核","已确认购买","Peter Schweizer bravely outlines the extent to which the Chinese Communist Party (CCP) and the Peoples Liberation Army (PLA) seduced the Washington elite and many others throughout America. The elite  followed willingly the siren call for unlimited wealth and adulation.Schweizer outlines the double dipping of the Bidens and legislators retiring to become high paid lobbyists for China and more directly the CCP. He described how Cabinet members, diplomats and even retired military engage in the same consulting businesses that initially in the 60s sought engagement, trade and peace, but soon turned to participation in vicious subversion. For Silicon Valley technocracy, the market opportunity for sales to China’s 1.44 billion population was initially an irresistible siren call above all other considerations, and for most the profits outweighed thoughts about our national security. The Author, includes Wall Street financing of the Chinese military with investment products not accountable to our Securities Exchange Commission, including many retirement funds. He goes on to describe the Bush and Trudeau families’ close relations with Chinese officials of the CCP. Don’t  forget Senator Dianne Feinstein or Senator Mitch McConnell and the Chao family of ship builders. Schwartz focuses particularly on Yale University with the massive and mostly unaccounted for Chinese donations and joint programs.This book names names, dates and dollar amounts with a surprisingly long list of persons who’s greed forgoes their honor.  He names a few not so easily seduced and a few of the good. The last chapter makes suggestions: Ban lobbying on behalf of Chinese military- and intelligence-linked companies. Ban Chinese military- and intelligence-linked companies from appearing on US stock exchanges. Ban joint research between Chinese and American universities.  Ban investment in corporations with Chinese military and intelligence projects. Wall Street firms need to consistently apply Environmental, Social, and Governance (ESG). —- needs to include National security as well (ESGS)I don’t know how you are going to gain truth in Media companies,  now owned or financed by China. They own Hollywood too.James Mann is the former Beijing bureau chief of the Los Angeles Times and is now a scholar at Johns Hopkins University. He argues that “engagement” is essentially a strategic fraud. Clyde Prestowitz, a longtime observer and author on China matters, believes we should replace engagement with reciprocity. (However, reciprocity cannot exist when one party holds deception as the highest good while the other views truth as the guiding virtue — the Eastern mind set versus the West.Schweizer mentions the unlikely but hopeful agreement between Ted Cruz of Texas and Chuck Schumer of NY in upholding the 1938 Foreign Agents Registration Act (FARA) and the 1966-2019 Foreign Contributions and Things of Value Act, § 30121 & 303(2). Schweizer seems to leave it to Prestowitz’s view of “reciprocity in Lou of engagement,” and our hope for further agreement between Ted Cruz (R) and Chuck Schumer (D) in closing the loopholes. In any case we must counter Beijing’s elite capture strategy.Our present circumstance deserves remembering the words of Thomas Paine, Christmas Day 1776.“These are the times that try men’s souls. The summer soldier and the sunshine patriot will, in this crisis, shrink from the service of their country; but he that stands it now, deserves the love and thanks of man and woman. Tyranny, like hell, is not easily conquered….What we obtain too cheap, we esteem too lightly: it is dearness only that gives everything its value. Heaven knows how to put a proper price upon its goods; and it would be strange indeed if so celestial an article as FREEDOM should not be highly rated.” Thomas Paine 1776We must end all foreign lobbying and deficit trade. Swing the ax, and renegotiate only that which recuperates our middle class and gives meaningful employment to those who struggle. Any reengagement  must rebuild US manufacturing, moral, American jobs, middle class liquidity and National security; and first of all, stop sleeping with the enemy.This book should be required reading for everybody, especially in Washington.","65 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhMk%252B82BdTt9qhYijDsKnpsfJKpWhBdnSzAiBRJrSIhqsAAAAAGQvymYAAAAB%26reviewId%3DREWRQND297MRH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMk%2B82BdTt9qhYijDsKnpsfJKpWhBdnSzAiBRJrSIhqsAAAAAGQvymYAAAAB&reviewId=REWRQND297MRH","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Geary Sheridan","5.0 颗星，最多 5 颗星","Item delivered on time, was as described","2023年4月6日 在美国审核","已确认购买","Item delivered on time, was as described, great customer service.","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKxx1l2c3Dj3uhGaw8dJSrZp4e0v3Smb3axp8s4Kv6pVAAAAAGQvymYAAAAB%26reviewId%3DR27C19WHUB3U5E&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKxx1l2c3Dj3uhGaw8dJSrZp4e0v3Smb3axp8s4Kv6pVAAAAAGQvymYAAAAB&reviewId=R27C19WHUB3U5E","","0","当前加载评论时遇到问题。请稍后再试。"
"Sonny Coffee","5.0 颗星，最多 5 颗星","Fact based investigation on Biden family.  NO conspiracies here!","2023年3月14日 在美国审核","已确认购买","Author is objective and outspoken on his many investigations.  He has written many books on both political parties.  Sad though that there are so many negative FACTS about the Biden family and our presidents self enrichment. In a word, GREED!","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKhW5TOrWDDS7Ssg8%252BkFzFsb0z700Pa%252FWS%252BtGQSRy8wOAAAAAGQvymYAAAAB%26reviewId%3DRAU0AJNFG6SH&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKhW5TOrWDDS7Ssg8%2BkFzFsb0z700Pa%2FWS%2BtGQSRy8wOAAAAAGQvymYAAAAB&reviewId=RAU0AJNFG6SH","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Kim","4.0 颗星，最多 5 颗星","Should be call True crimes","2023年3月13日 在美国审核","已确认购买","Biden crime familySold us out","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhONEnnLEtxmdLikZlDSHY3%252BsJqVIl%252BQcQRjdrUg9o%252BhcAAAAAGQvymYAAAAB%26reviewId%3DR12BVZMRV7BD6Q&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hONEnnLEtxmdLikZlDSHY3%2BsJqVIl%2BQcQRjdrUg9o%2BhcAAAAAGQvymYAAAAB&reviewId=R12BVZMRV7BD6Q","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Ronnie Vaughn","5.0 颗星，最多 5 颗星","Everyone in America should read this book","2023年2月27日 在美国审核","已确认购买","Details how we have been sold out by heads of government and big companies.","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhOSWyktzhxsjx967aqw52ePIERZQfxC1CPR%252BP%252BMQF1PLAAAAAGQvymYAAAAB%26reviewId%3DRQ642GC6NHVFB&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOSWyktzhxsjx967aqw52ePIERZQfxC1CPR%2BP%2BMQF1PLAAAAAGQvymYAAAAB&reviewId=RQ642GC6NHVFB","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"MV Tile Co","5.0 颗星，最多 5 颗星","Corruption at the Highest Level","2023年2月21日 在美国审核","已确认购买","Our government is corrupt on both sides of the aisle","1 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhMnLmGVEBDP0IDFVkg5aW4RmzybSLPRxSNy5m1b2IY72AAAAAGQvymYAAAAB%26reviewId%3DR2L48SZEPK59XF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hMnLmGVEBDP0IDFVkg5aW4RmzybSLPRxSNy5m1b2IY72AAAAAGQvymYAAAAB&reviewId=R2L48SZEPK59XF","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"John R","5.0 颗星，最多 5 颗星","A Must Read","2023年1月31日 在美国审核","已确认购买","A very informative book outlining the corruption in all areas of Government, Wall Street, Higher Education and Technology. Not only one side of the aisle but both Dems and Republicans.","4 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhLgHByP%252F1DUqX48%252BTknOGw4phFFOinMjDkoG74DKjesTAAAAAGQvymYAAAAB%26reviewId%3DRDWX8EZFMD0X3&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLgHByP%2F1DUqX48%2BTknOGw4phFFOinMjDkoG74DKjesTAAAAAGQvymYAAAAB&reviewId=RDWX8EZFMD0X3","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Ken J","5.0 颗星，最多 5 颗星","Important for ""the People"" to Know","2023年2月6日 在美国审核","已确认购买","Mr. Schweitzer has exposed many corrupt politicians and how they get their money.  Read it if you want to know.","4 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKj3Cf2LgMMBPNTFkzY3RSDnEtqG9Obub4TvxEG8H2fuAAAAAGQvymYAAAAB%26reviewId%3DR1EOE41VQXOWG8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKj3Cf2LgMMBPNTFkzY3RSDnEtqG9Obub4TvxEG8H2fuAAAAAGQvymYAAAAB&reviewId=R1EOE41VQXOWG8","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"DS","5.0 颗星，最多 5 颗星","A MUST READ","2023年2月16日 在美国审核","已确认购买","Informative read.","1 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhG0YB9y1p2Avtb%252FHFPZaJo0hNZIV69VFU5cnXbGwPaCYAAAAAGQvymYAAAAB%26reviewId%3DRS4H8ENLTQSP1&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG0YB9y1p2Avtb%2FHFPZaJo0hNZIV69VFU5cnXbGwPaCYAAAAAGQvymYAAAAB&reviewId=RS4H8ENLTQSP1","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
