"a-profile-avatar","a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-size-base 5","a-size-base 6","a-button-text href","cr-helpful-text","a-size-base href 2","review-comment-count","a-alert-heading"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Shaw","3.0 颗星，最多 5 颗星","Content is excellent but formatting errors","2022年10月11日 在美国审核","已确认购买","Content is excellent but for some reason there are random characters inserted into the text.","Content is excellent but formatting errors","Content is excellent but for some reason there are random characters inserted into the text.","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhHl3eoUbOBI0n4w05FmeW92j%252FQRSZrLzZpHxnOZ%252BKmDvAAAAAGQvwjEAAAAB%26reviewId%3DR144TV8CXMCVYZ&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hHl3eoUbOBI0n4w05FmeW92j%2FQRSZrLzZpHxnOZ%2BKmDvAAAAAGQvwjEAAAAB&reviewId=R144TV8CXMCVYZ","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","easternedt","5.0 颗星，最多 5 颗星","All the insights in one place","2022年9月17日 在美国审核","已确认购买","We all know what this is about and you can choose to believe it or not, but this is an exquisite summary of the facts of the case.","报告","显示条评论","","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhCETuzWjOL6hX0GwywOO0Kdg6sSwhU0gxnZNXc9wmC66AAAAAGQvwjEAAAAB%26reviewId%3DR1IR4VMI7BMF0T&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCETuzWjOL6hX0GwywOO0Kdg6sSwhU0gxnZNXc9wmC66AAAAAGQvwjEAAAAB&reviewId=R1IR4VMI7BMF0T","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Michael","5.0 颗星，最多 5 颗星","Breathtaking","2022年9月2日 在美国审核","已确认购买","Very wide in scope, with excellent historical analogies to bring across his views.Reading this I wonder who could ever shoulder the burden on our end.Gigantic issues to ponder!","报告","显示条评论","","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhBVk0V74SeAWJQLzK9QDX1b0KXZVJ%252FKqFcCTvHaSM3jPAAAAAGQvwjEAAAAB%26reviewId%3DR8GMR792UILPM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBVk0V74SeAWJQLzK9QDX1b0KXZVJ%2FKqFcCTvHaSM3jPAAAAAGQvwjEAAAAB&reviewId=R8GMR792UILPM","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","P. Winterfeldt","5.0 颗星，最多 5 颗星","Well written and informative.","2022年8月28日 在美国审核","已确认购买","I am still reading this book.  It is not a book to hurry through.  I look forward to having the time to continue reading it.","2 个人发现此评论有用","报告","显示条评论","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhLYmkfehOrgkAex0L5Xa7l6Pp3TClhSXjuZYwk%252BlmZq%252BAAAAAGQvwjEAAAAB%26reviewId%3DR1UQPN38KE33M1&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hLYmkfehOrgkAex0L5Xa7l6Pp3TClhSXjuZYwk%2BlmZq%2BAAAAAGQvwjEAAAAB&reviewId=R1UQPN38KE33M1","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","sam h","2.0 颗星，最多 5 颗星","Unreadable Kindle formatting errors","2022年9月8日 在美国审核","已确认购买","I was very excited to read this book and bought on kindle (fire tablet and iPhone), but couldn’t get past the first 2 pages due to all of the formatting errors. I have reached out to Amazon customer service. Hopefully it gets rectified soon.","Unreadable Kindle formatting errors","I was very excited to read this book and bought on kindle (fire tablet and iPhone), but couldn’t get past the first 2 pages due to all of the formatting errors. I have reached out to Amazon customer service. Hopefully it gets rectified soon.","6 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhH%252BMXzip4zII4J5g7uQBjIJjqDRmZgA7tgzEiA6FlblfAAAAAGQvwjEAAAAB%26reviewId%3DR2LKNQ1QOHZ93D&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hH%2BMXzip4zII4J5g7uQBjIJjqDRmZgA7tgzEiA6FlblfAAAAAGQvwjEAAAAB&reviewId=R2LKNQ1QOHZ93D","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","RLL","1.0 颗星，最多 5 颗星","""Lets Wage War on China""","2022年11月8日 在美国审核","已确认购买","Their are an host of problems China presents to the US.  Yet at the same time China provides not only first rate manufacturing, but also top notch scientific scholars in all fields. Many of them working in the US in academia and industry.Kill Chain, by a defense specialist to the late Senator McKain discusses China and also sees a lot of problems. But he proposes management, not reckless marching into disaster. Management includes respecting that China does have legitimate interests.","1 个人发现此评论有用","报告","显示条评论","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhEGuXPbAO0UdkS%252BkPs05vu6LRCvkkAQdyn2nI4MJ4aSSAAAAAGQvwjEAAAAB%26reviewId%3DR39IKXV2N4GFGV&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEGuXPbAO0UdkS%2BkPs05vu6LRCvkkAQdyn2nI4MJ4aSSAAAAAGQvwjEAAAAB&reviewId=R39IKXV2N4GFGV","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","M. Peterson","1.0 颗星，最多 5 颗星","Terrible Formatting","2022年9月8日 在美国审核","已确认购买","The book is flawed; formatting is poor so unreadable; returned for refund.Why would Amazon see this E-book with serious formatting issues?","报告","显示条评论","","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKP7d2Viooc2sITqiy4X4HJjEzsgAkmL2Gdz4s2Bt39NAAAAAGQvwjEAAAAB%26reviewId%3DR2XOEJJ93MXV38&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKP7d2Viooc2sITqiy4X4HJjEzsgAkmL2Gdz4s2Bt39NAAAAAGQvwjEAAAAB&reviewId=R2XOEJJ93MXV38","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","R. Thomas","5.0 颗星，最多 5 颗星","Balanced and nuanced analysis of a complex situation","2023年2月4日 在美国审核","","There is no shortage of books by ""China experts"", but their tones generally fall into one of two categories: the China-juggernaut-get-used-to-it type and the China-will-collapse-within-X-months type. This book succumbs to neither extreme, but presents a detailed and nuanced analysis of both the dangers which China presents and the challenges it faces. The fresh take which Brands and Beckley offer is the conclusion that the very structural weaknesses which menace China should not be a source of complacency or gloating in the West, but cause for grave concern, since it is ascendant powers that perceive windows of opportunity closing who are most dangerous. They don’t offer specifics about what China will do next (though they make some educated guesses), but instead try to help the reader understand the complex web of pressures acting on China, and how they are likely to respond. I found this a good companion to Steven Mosher’s /Hegemon/ to help me grasp the distinctive and non-Western mindset of the Chinese.Brands and Beckley propose solutions that the West can follow to blunt China’s impact. Whether the West has the unified will and moral fiber to implement them is another question, but that wasn’t the focus of this book.","1 个人发现此评论有用","报告","显示条评论","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhI8EFG2KtlbEdB2443gbM3Lrl8btyA3BxF5ghp9Gx5D3AAAAAGQvwjEAAAAB%26reviewId%3DRXEVH6E44IJ3P&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hI8EFG2KtlbEdB2443gbM3Lrl8btyA3BxF5ghp9Gx5D3AAAAAGQvwjEAAAAB&reviewId=RXEVH6E44IJ3P","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Kindle Customer","5.0 颗星，最多 5 颗星","Excellent summary of why there are troubled waters ahead...","2023年2月25日 在美国审核","","The authors aptly describe how China's Communist system ""capitalized on capitalism"" over the last 25+ years to stoke their military's immense buildup.  They now face a precipitous fall -- for all the reasons cited.  They will not go down quietly, and the entire world should worry.  This is a clarion call to be ready and my worry is that we are not.  Highly recommend for anyone who wants to better understand what drives China ""National Rejuvenation"" strategy and how they plan to achieve it, no matter the cost.","报告","显示条评论","","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhCssIht9APFHeDXIjVHT0oAVGU%252Fx%252FZsPrHdZDqaLSf9WAAAAAGQvwjEAAAAB%26reviewId%3DR2O5GQ9MFMWI9J&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hCssIht9APFHeDXIjVHT0oAVGU%2Fx%2FZsPrHdZDqaLSf9WAAAAAGQvwjEAAAAB&reviewId=R2O5GQ9MFMWI9J","0","当前加载评论时遇到问题。请稍后再试。"
"<img src=""https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png""/>","Richard","5.0 颗星，最多 5 颗星","Be scared","2022年10月24日 在美国审核","","Our way of life is at risk.  Think about this before you vote this Nov.","报告","显示条评论","","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F1324021306%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhJybOnQSWepQjZ1vevM4WQ7UiDzsZrZaybExpp29cgvAAAAAAGQvwjEAAAAB%26reviewId%3DRO0G6UB71GTA9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hJybOnQSWepQjZ1vevM4WQ7UiDzsZrZaybExpp29cgvAAAAAAGQvwjEAAAAB&reviewId=RO0G6UB71GTA9","0","当前加载评论时遇到问题。请稍后再试。"
