"a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading"
"wsmrer","5.0 颗星，最多 5 颗星","No time soon ....","2014年9月26日 在美国审核","已确认购买","There is no need to add to the praise of McGregor's work other than to say he brought with him a Sovietologist background when he turned to the Chinese Communist Party that allowed him to see what many others have missed and that is the core embedded Leninist principles as the foundation of the CCP's mode of operation at all levels of activity. As the term Communist has been washed away in western dialog about the Peoples Republic of China McGregor never makes that mistake. His work is a brilliant analysis of the strengths and weakness of the system and he lists the many forecasts that have been made of its inevitable demise but it is worth quoting his final conclusions.""It has always been easy to construct scenarios under which the Party loses power. A financial crisis was a favoured one for years. As it turned out, the great financial crisis of the early twenty-first century came to symbolize the eclipse of the west, and China's rise, rather than the other way round.... Within China, the country's distinctive system is not a source of concern. Rather, it is played up as a point of pride. The Global Times, the nationalistic tabloid owned by the People's Daily, the Party's mouthpiece, trumpets how China's rise has ended the post-Cold-War `unilateral' world lorded over by the USA. `The biggest contribution that China has made to world politics is that through revolution, reform and development China has shown the world that the Western model is not the only way to modernize,' it said in an opinion piece in October 2009. `China has also demonstrated that the non-Western world does not necessarily follow the West's footsteps.' The editorial captured a longtime article of faith in China that is only now becoming evident in a western world still recuperating from the financial crisis. The end of the Cold War did not mean the end of history after all. The Chinese communist system is, in many ways, rotten, costly, corrupt and often dysfunctional. The financial crisis has added a dangerous dash of hubris to the mix. But the system has also proved to be flexible and protean enough to absorb everything that has been thrown at it, to the surprise and horror of many in the west. In the absence of democratic elections and open debate, it is impossible to judge popular support for the Party with any degree of accuracy. But it is indisputable since Mao's death that the twin foundations of the Party's power-economic growth and resurgent nationalism-have been strengthened. China has long known something that many in developed countries are only now beginning to grasp, that the Chinese Communist Party and its leaders have never wanted to be the west when they grow up. For the foreseeable future, it looks as though their wish, to bestride the world as a colossus on their own implacable terms, will come true.""This is 2014, the year another approach by Neo-Marxist analysts* list as the likely date of the collapse of the Chinese economy for its similarities to western capitalists systems.They might reevaluate all their conclusions regarding China if they were to see what McGregor was capable of seeing; a mixed economy with a dynamic non-state sector harnessed to a vibrant state sector like no other communist model.To quote again: ""The Party's genius has been its leaders' ability in the last three decades to maintain the political institutions and authoritarian powers of old-style communism, while dumping the ideological straitjacket that inspired them. The Party's conscious retreat from the private lives of Chinese citizens over the same period had a similarly liberating effect on society. The dehumanization of everyday life that characterized traditional communist societies has largely disappeared in China, along with the food queues. In the process, the Party has pulled off a remarkable political feat, somehow managing to hitch the power and legitimacy of a communist state to the drive and productivity of an increasingly entrepreneurial economy.The visible hand of the state and the invisible hand of the market, far from being contradictory, are made to complement and reinforce each other.""* See Endless Crisis: How Monopoly-Finance Capital Produces Stagnation and Upheaval from the USA to ChinaFoster, John Bellamy; McChesney, Robert W. W. (2012-09-01)","5 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhKFvaOSmufmCVIdjlllQGKCy00WvyPke6Yd2PCdvb7rbAAAAAGQvy34AAAAB%26reviewId%3DR1RGDE4R7JKBNN&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hKFvaOSmufmCVIdjlllQGKCy00WvyPke6Yd2PCdvb7rbAAAAAGQvy34AAAAB&reviewId=R1RGDE4R7JKBNN","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"A. Menon","5.0 颗星，最多 5 颗星","Illuminating introduction to arguably the most important political party in the world","2010年10月30日 在美国审核","已确认购买","Politics in China can be often opaque to foreigners.  In some sense it is surprising the lack of literature on the Chinese Communist Party and the means in which it functions, but as illustrated in this book, much happens behind closed doors.  If one wants an introduction to the party as well as the way in which it governs and integrates itself then this serves perfectly.  After reading this one gets a better perspective on how the party operates, the stresses that it deals with, how it has adapted in the past and what it is dealing with today.The Party uses both example and commentary to show by example how the Party is behind some of the major business decisions of recent history.  It gives examples of how the Party directly influences some of the biggest corporates on the planet.  In particular the rotation of the CEOs of the 3 biggest chinese telco operators was done behind closed doors without consultation with the public.  It discusses Chalco's impact on disrupting one of the biggest potential mergers in modern business history (Rio and BHP), as such a merger would shift bargaining power of mineral prices away from consumer (china) and towards producer.  Its actions need to be assessed through the lense of an entity who is both asserting and preserving its power as well as protecting its sovereign interests.The Party also discusses the internal stresses faced by the communist party.  With the phenomenal success of the chinese economy and the wealth that has been created with growth comes greater competition between the lure of the party, and the desire for commercial wealth.  This stress has been a source of corruption and rent seeking.  With economies directed from the bottom up with preferential state lending, the position of power of local authorities can and is used for personal benefit.  The party it is argued acknowledges and accepts this.  It must deal with both punishing examples to show vigilance but realizing that removing the rents that are recieved with political power would remove the incentive to join and thus would promote instability.Overall this is a fascinating overview of how the Chinese Communist Party operates and what it has to deal with.  It has had to adapt quickly, and the stresses it is dealing with will likely intensify over time.  The way in which the party maintains its power is on a tightrope in which differences in opinion within the party are abundant.  Nonetheless they have so far been able to form consensus and progress despite their differences.  It is the ability to unify and come to consensus that has taken them this far, despite some near break points.  Whether that will continue to be the case, time will tell, but as an overview on what is happening today and some of the solutions the party has crafted, this book is excellent.  It is a must read to gain perspective into how the communist party operates and how it sees things.","2 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhOmRfZKLtNA8qAFw7eoCyPMwVtJuOO442y1UgAI69vxuAAAAAGQvy34AAAAB%26reviewId%3DR151GQCWTETASB&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOmRfZKLtNA8qAFw7eoCyPMwVtJuOO442y1UgAI69vxuAAAAAGQvy34AAAAB&reviewId=R151GQCWTETASB","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Serge J. Van Steenkiste","5.0 颗星，最多 5 颗星","Party Keen on Stealth Exposed to Sunlight","2010年7月7日 在美国审核","已确认购买","Richard McGregor renders a great service to his readers by shedding light on the inner workings of the ruling Chinese Communist Party which is keen on secrecy.  The transformation of China's economy and society and its impact on the rest of the world in the last three decades has too often deflected attention from formal politics in Beijing.Highly pragmatic, cynical, and adaptive, the Party has succeeded in the last three decades in linking the power and legitimacy of a communist state with the drive and productivity of an increasingly entrepreneurial society.  The party's legitimacy still depends largely on the economy and its accompanying resurgent patriotism and nationalism.  For all its increasingly international presence, China and, therefore, the Party will remain focused mainly on solving the country's problems due to their scale, depth, multiplicity, and variety.McGregor shows systematically how high secrecy, tolerance of non-embarrassing corruption in its ranks, resolute hostility to the rule of law, and vindictive pursuit of enemies are all vital for the Party if it wants to remain at the core of the modern Chinese narrative through its tight grip on 1) personnel, 2) propaganda, and 3) People's Liberation Army.At the same time, the Party has traded in Mao Zedong's totalitarian terror for a seductive modus vivendi with Chinese citizens.  As long as ordinary Chinese accept the enlightened leadership of their empowered elite and do not ask for either accountability or the rule of law, they can pretty much lead their life and career as they see fit and eventually get rich.  McGregor also shows clearly that although the Party has adapted its membership make-up to ongoing changes in China, it is struggling to keep up with the rapidly evolving aspirations, demands, and cleavages of the Chinese society.  However, the bargain that the Party has struck with ordinary Chinese does not exist in a vacuum.  The Party's propaganda system has to constantly remind Chinese citizens that there is no serious alternative to the Party in order for it to remain at the top of Chinese society.The Party is also keen to minimize its profile abroad.  For example, the Party likes to promote the largest state-owned enterprises (SOEs) that are publicly traded in Hong Kong and outside mainland China as independent commercial entities.  The Party's myriad functions, starting with its control over top management of these SOEs, have been downplayed systematically.In summary, McGregor convincingly demonstrates that the Party is determined to pursue its own model of economic, political, and social development on its own implacable terms.  The rest of the world, especially the West, has no other option but to adapt to the reemergence of China, regardless of the ultimate outcome of this metamorphosis.","12 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhG3tlc5zI2LdzkO1YwYkVv46eofE%252F8AYZV7IBlTc4V5NAAAAAGQvy34AAAAB%26reviewId%3DR3P40KUZV6VZ61&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hG3tlc5zI2LdzkO1YwYkVv46eofE%2F8AYZV7IBlTc4V5NAAAAAGQvy34AAAAB&reviewId=R3P40KUZV6VZ61","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"James R. Leighton","5.0 颗星，最多 5 颗星","Communism--a primer on the Chinese version","2012年3月4日 在美国审核","已确认购买","This book is a real head turner or should I say an eye turner for those looking for an up to date description of how the Communist Party in China controls industry from top to bottom of its society. But if you are looking for a description of original communist theory as postulated by  Marxist-Leninist principals then a book on that subject may better suit your needs.But what you can learn from this book is exactly how the Chinese have managed to slowly change their industrial policies to a combination of of communism and capitalism.The author takes you on and interesting insiders view of how corruption, incompetance, and politics have been woven together to create one of the most productive societies in the world. It even in some cases mirrors some of the things going on in our own society which could if left unchecked could lead to the demise of our economic system to the level of China's.The author describes the major departments of Chinese Government and the role each plays in maintaining control of both the industries and the people. The most interesting is the Department of Organization which in our society would be the Personnel Department. It is there that people are selected for positions in government and the private sector. However this department functions with no rhyme or reason and does so simply through the buying and selling of jobs by people who want jobs or in some cases want to lose theirs by crossing this department the wrong way. There is no merit system in China, major players are selected simply by corruption, incompetance  or through politics. And if you should happen to be selected for a high level or sometimes a lower lever job you are assigned a Communist party member to watch you to make sure you tow the Party line. Sometimes the CEO and your assigned party member are regarded as being at the same level of power in a company or government agency. Talk about confusion about lines of authority and role in society. Imagine writing a job description for those jobs. Sometimes the party member is also the CEO. So he gets to watch himself. Obviously he is not going to report on himself. This opens the door to the question as to how China even functions in any productive way but it does this through deceit,lies, and the general ignorance of its population.  What an eye opening book!! A must read for all Americans.","1 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhNIQGIhExtlECH3HzHsuCy1eBxFOkHojJkh5GWLYbttwAAAAAGQvy34AAAAB%26reviewId%3DR1SY8IQNNMA94G&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hNIQGIhExtlECH3HzHsuCy1eBxFOkHojJkh5GWLYbttwAAAAAGQvy34AAAAB&reviewId=R1SY8IQNNMA94G","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Canuck in Toronto","4.0 颗星，最多 5 颗星","Highly recommended reading for anyone working in China, investing in China, interested in China","2015年3月15日 在美国审核","已确认购买","This is one of the most well researched and chronicled books on the impact that the Communist Party has over all things in China. The author has meticulously researched (from Chinese and non-Chinese sources) the topic and the major structures of one of the most closed, opaque political systems in the world.Even though the central leadership, standing committee memberships and politburo has changed (as of 2012), this is still highly relevant to many of the themes that the Party continues to struggle with and confront. This includes the growing middle class and income disparity, State-Owned versus Private Corporation governance, environmental issues, the major anti-corruption campaign underway. And this books helps understand why these dominate the party, and why the party behaves the way it does. And the author does this in a very effective manner - well organized, well researched, and well sourced. The chapters on the Shanghai Gang are also very informative as it allows the reader to understand the massive struggle Xi Jinping must of had (continues to have) in installing his key officials into key posts that will help him with his policy agenda.Highly recommend this for anyone doing business in China (or with Chinese companies), travelling or planning to live in China as this book provides a very well-rounded view of the key decision making body that is present throughout all aspects of life in this interesting country.","6 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhBWElgXtFdLFxevDYZ%252F4jyv3HvF2To17BRrm%252Bacge0GwAAAAAGQvy34AAAAB%26reviewId%3DRC3UJWSQL4A49&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hBWElgXtFdLFxevDYZ%2F4jyv3HvF2To17BRrm%2Bacge0GwAAAAAGQvy34AAAAB&reviewId=RC3UJWSQL4A49","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"S P","5.0 颗星，最多 5 颗星","A Look Inside a Political Institution","2011年3月9日 在美国审核","已确认购买","The subtitle might throw you off. This is not so much a book about individual personalities, although individual stories provide the basis for analysis. It's more about the institutional workings of a massive, nimble, confusing, calculating organization that influences the daily lives of over a billion people. This book will give you a sense of the magnitude of exactly what the Chinese Community Party can do, how its role has changed, and simply how much you don't know about it. McGregor develops a clear opinion from the first page, and builds upon that image in every subsequent anecdote. Thus, the chapter of the People's Liberation Army stands not so much for itself, but how it reflects the dominance of the party.Along these lines, the book is relatively light on historical detail. It's more about individual stories and how they reflect greater trends. Don't look to this book for any comprehensive narrative. Think of it as a look inside the mind of a Chinese leader. If you are not already familiar with the history of the PRC, you could use some background. But this book will help put trends in context, giving you a basis for further studies about communist rule. Before you study isolated facts and specific leaders, it helps to have a book like this that gives you a picture of the underlying structure that defines and drives the party as a whole. The content itself is perhaps not even the book's strength. Rather it is the gripping style, intended to paint a picture and tell a story rather than lecture. Think of McGregor as a tutor, trying to teach you so you really understand. Ultimately, this is his great success: proving convincingly that the current party in power on the Mainland is persistent, flexible, and completely pervasive.","12 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhDbRmEpZn3f5lAFOO8nv8KTZqlYk755OqzcKL9X0NOApAAAAAGQvy34AAAAB%26reviewId%3DR1MPZT4HYC54OO&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hDbRmEpZn3f5lAFOO8nv8KTZqlYk755OqzcKL9X0NOApAAAAAGQvy34AAAAB&reviewId=R1MPZT4HYC54OO","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"meyestone","4.0 颗星，最多 5 颗星","Required reading!","2012年9月6日 在美国审核","已确认购买","This is a very readable, fascinating book that puts together what a lot of people who pay any attention to China already know - yet perhaps fail to ""appreciate"".  The central premise is that the CCP works very hard, and largely successfully, to stay behind the scenes, and to run the country through nominal governmental, judicial and legislative entities that are for all practical purposes ""front"" organizations with no independent power.  It makes one appreciate how the rule of law really is the underlying basis for all liberty.  The next time I'm confronted with a bureaucratic rule being blindly enforced by an unsympathetic bureaucrat... I will try to appreciate how much better that is than having to deal with party officials with almost unlimited power to decide whether to be helpful or obstructive based on their own discretion.The book itself is very readable.  There are a couple of places where the writing is a bit repetitive -- chapter introductions are like ""executive summaries"" of each chapter.  My Kindle edition had a small number of typographical errors that did not interfere with the book's overall readability.If you do business with China, or are interested in China, or have views on how the west interacts politically with China, you really ought to read this book to help inform your understanding of the fascinating country and state that is modern China.","1 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhEp8y0iRWZ0NfpFIASUwQMRZTGxT1EGaXFYxKA2%252Fn5ceAAAAAGQvy34AAAAB%26reviewId%3DR3DC4WW84YWCSW&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hEp8y0iRWZ0NfpFIASUwQMRZTGxT1EGaXFYxKA2%2Fn5ceAAAAAGQvy34AAAAB&reviewId=R3DC4WW84YWCSW","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"STEPHEN SWENERTON","3.0 颗星，最多 5 颗星","History of the Party","2022年5月19日 在美国审核","已确认购买","This is an excellent review of the history of the party.  It was published in 2010, so it misses the very important and transforming Xi era, but is still worth a read.","报告","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhC6nCuc4IE1U8QmPCnl5zvjnZIC3WdmeGhzedy5P1599AAAAAGQvy34AAAAB%26reviewId%3DR3RBBW5I92YJSE&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hC6nCuc4IE1U8QmPCnl5zvjnZIC3WdmeGhzedy5P1599AAAAAGQvy34AAAAB&reviewId=R3RBBW5I92YJSE","","0","当前加载评论时遇到问题。请稍后再试。"
"Jiang Xueqin","4.0 颗星，最多 5 颗星","For the Serious Student of China","2012年11月2日 在美国审核","已确认购买","In his book ""The Party,"" veteran Financial Times reporter Richard MacGregor presents a disturbing but very true argument:  Now entirely devoid of its ideological and revolutionary roots, China's Communist Party is intent on clinging onto power by keeping on a tight leash China's most powerful institutions -- the state-owned enterprises, all branches of government, the military, and the financial sector -- and it is this very disruption of the machinery of state and economy that is leading to malfunction and malfeasance in China today.The Party accomplishes this with its system of political commissars so that every institution in China has two competing centers of power -- an executive who is responsible for the competent management of the enterprise, and a political secretary who is responsible for the ideological loyalty and orthodoxy of the enterprise.  Invariably these two goals are in conflict with each other.  Competence requires openness, tolerance, diversity, transparency, accountability, and merit -- principles and ideas that stand counter to Party orthodoxy.  And so while Chinese state-owned enterprises and the Chinese military look like behemoths to the outside world, it's this very inconsistency and contradiction that weakens their ability to compete on a global scale.","6 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhExtvMjZRFiET7mcuPkHqfpIXqHwJU%252Bpn5xpSVOK2gGIAAAAAGQvy34AAAAB%26reviewId%3DR1E0NKBNVYVW50&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/-/zh/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hExtvMjZRFiET7mcuPkHqfpIXqHwJU%2Bpn5xpSVOK2gGIAAAAAGQvy34AAAAB&reviewId=R1E0NKBNVYVW50","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Amazon Customer","4.0 颗星，最多 5 颗星","Would recommend to anyone curious about CCP","2016年2月5日 在美国审核","已确认购买","I thought this was a great book. Of course, it's a few years old now so it mentions nothing of Xi Jinping in power at the helm. It only mentions Xi as a potential and likely successor. However, McGregor opens up your mind to a lot of the workings and structure of the CCP. He does a wonderful job at taking you methodically through the different bodies of the CCP and into a brief highlight of the history of some of its more prominent members. I would recommend this to anyone that has any curiosity about the Chinese Communist Party and would like to get a decent understanding of its workings. A caveat, however, is that McGregor could only unearth so much about the Party simply because knowledge about the Party is difficult to come by. Don't go in expecting to get a good understanding of its inner workings like you would somewhere like a similar book about the United States government. However, after reading the book you will be much more enlightened than coming into it.","14 个人发现此评论有用","https://www.amazon.com/-/zh/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2FB083ZLHL6T%2Fref%3Dcm_cr_arp_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26csrfT%3DhOrgylXDAshWtEYM%252BgE9tRy6EF4y1k3ulf2BrY1LfzW1AAAAAGQvy34AAAAB%26reviewId%3DRUJLX2EZNYCIU&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_arp_d_rvw_hlp&csrfT=hOrgylXDAshWtEYM%2BgE9tRy6EF4y1k3ulf2BrY1LfzW1AAAAAGQvy34AAAAB&reviewId=RUJLX2EZNYCIU","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
